Charlie Chaplin,Gin [Sloe]
Chartreuse Swizzle,Chartreuse [Green]
Chartreuse Swizzle,Syrup [Falernum]
Chicago,Port
Chicago,Rum [Jamaican Dark]
Chrysanthemum,Absinthe
Chrysanthemum,Bénédictine
Chrysanthemum,Vermouth [Dry]
Claridge,Brandy [Apricot]
Claridge,Cointreau
Claridge,Gin [London]
Claridge,Vermouth [Dry]
Cloister (v Green),Chartreuse [Green]
Cloister (v Yellow),Chartreuse [Yellow]
Cloister (v Yellow),Gin [London]
Clover Club (classic),Gin [London]
Clover Club (with Vermouth),Gin [London]
Clover Club (with Vermouth),Vermouth [Dry]
Cock N’ Bull Special,Bénédictine
Cock N’ Bull Special,Bitters [Angostura]
Cock N’ Bull Special,Brandy [Cognac]
Cock N’ Bull Special,Cointreau
Cock N’ Bull Special,Whiskey [Rye]
Cocktail,Ingredient
Cocktail a la Lousiane (classic),Absinthe
Cocktail a la Lousiane (classic),Bénédictine
Cocktail a la Lousiane (classic),Bitters [Peychaud's]
Cocktail a la Lousiane (classic),Brandy [Cognac]
Cocktail a la Lousiane (classic),Vermouth [Sweet]
Cocktail a la Lousiane (classic),Whiskey [Rye]
Cocktail a la Lousiane (w Ango),Absinthe
Cocktail a la Lousiane (w Ango),Bénédictine
Cocktail a la Lousiane (w Ango),Bitters [Angostura]
Cocktail a la Lousiane (w Ango),Bitters [Peychaud's]
Cocktail a la Lousiane (w Ango),Brandy [Cognac]
Cocktail a la Lousiane (w Ango),Vermouth [Sweet]
Cocktail a la Lousiane (w Ango),Whiskey [Rye]
Coessential,Absinthe
Coessential,Crème de Cacao
Coessential,Vodka
Conference,Bitters [Angostura]
Conference,Bitters [Bittermen's Xocolatl Mole]
Conference,Brandy [Apple]
Conference,Brandy [Cognac]
Conference,Whiskey [Rye]
Conference,Whiskey [Rye]
Corn N’ Oil,Bitters [Angostura]
Corn N’ Oil,Syrup [Falernum]
Corpse Reviver No. 1 (classic),Brandy [Apple]
Corpse Reviver No. 1 (classic),Brandy [Cognac]
Corpse Reviver No. 1 (classic),Vermouth [Sweet]
Corpse Reviver No. 1 (with Ango),Bitters [Angostura]
Corpse Reviver No. 1 (with Ango),Brandy [Apple]
Corpse Reviver No. 1 (with Ango),Brandy [Cognac]
Corpse Reviver No. 1 (with Ango),Vermouth [Sweet]
Corpse Reviver No. 2 (classic),Cointreau
Corpse Reviver No. 2 (classic),Gin [London]
Corpse Reviver No. 2 (classic),Lillet Blanc
Corpse Reviver No. 2 (w/ Absinthe),Absinthe
Corpse Reviver No. 2 (w/ Absinthe),Cointreau
Corpse Reviver No. 2 (w/ Absinthe),Gin [London]
Corpse Reviver No. 2 (w/ Absinthe),Lillet Blanc
Cosmopolitan,Cointreau
Cosmopolitan,Vodka
Creole Contentment,Bitters [Orange]
Creole Contentment,Brandy [Cognac]
Creole Contentment,Madeira
Creole Contentment,Maraschino Liquor
Crescent City,Bitters [Angostura]
Crescent City,Rum [Jamaican Dark]
Crescent City,Vermouth [Sweet]
Cuba Libre,Rum [Jamaican Dark]
Daiquiri,Rum [Cuban White]
Daisy de Santiago,Chartreuse [Yellow]
Daisy de Santiago,Rum [Cuban White]
Dark ‘n Stormy (classic),Rum [Cuban Dark]
Dark ‘n Stormy (spiced),Rum [Spiced]
Davis,Rum [Jamaican Dark]
Davis,Syrup [Grenadine]
Davis,Vermouth [Dry]
De Rigueur,Scotch [Blended]
Deauville,Brandy [Apple]
Deauville,Brandy [Cognac]
Deauville,Cointreau
Delmonico,Bitters [Angostura]
Delmonico,Brandy [Cognac]
Delmonico,Gin [London]
Delmonico,Vermouth [Dry]
Delmonico,Vermouth [Sweet]
Derby,Bitters [Peach]
Derby,Gin [London]
Diamondback,Brandy [Apple]
Diamondback,Chartreuse [Green]
Diamondback,Whiskey [Rye]
Dr. Cocktail,Bitters [Angostura]
Dr. Cocktail,Rum [Jamaican Dark]
Dr. Cocktail,Swedish Punsch
Earl Grey MarTEAni,Gin [London]
Eggnog,Brandy [Cognac]
Eggnog,Rum [Spiced]
Espresso Martini,Coffee Liqueur
Espresso Martini,Vodka
Fernet Daiquiri,Fernet Branca
Final Ward,Chartreuse [Green]
Final Ward,Maraschino Liquor
Final Ward,Whiskey [Rye]
Flannel Shirt (Classic),Allspice Dram
Flannel Shirt (Classic),Averna
Flannel Shirt (Classic),Bitters [Angostura]
Flannel Shirt (Classic),Scotch [Highland Park]
Flannel Shirt (v Blended Scotch),Allspice Dram
Flannel Shirt (v Blended Scotch),Averna
Flannel Shirt (v Blended Scotch),Bitters [Angostura]
Flannel Shirt (v Blended Scotch),Scotch [Blended]
Flannel Shirt (v Blended Scotch),Scotch [Islay]
Fog Cutter,Brandy [Cognac]
Fog Cutter,Gin [London]
Fog Cutter,Rum [Cuban White]
Fog Cutter,Sherry
Fog Cutter,Syrup [Orgeat]
Ford Cocktail,Bénédictine
Ford Cocktail,Bitters [Orange]
Ford Cocktail,Gin [Old Tom]
Ford Cocktail,Vermouth [Dry]
Fourth Regiment,Bitters [Celery]
Fourth Regiment,Bitters [Peychaud's]
Fourth Regiment,Vermouth [Sweet]
Fourth Regiment,Whiskey [Rye]
French 75,Gin [London]
French 75,Sparkling Wine
French Connection,Amaretto
French Connection,Brandy [Cognac]
French Martini,Raspberry liqueur
French Martini,Vodka
Gaby des Lys,Absinthe
